,abbreviation,meaning
0,#,fracture
1,A&E,accident and emergency
2,a.c.,before meals
3,a.m.,morning
4,am,morning
5,AM,morning
6,AF,atrial fibrillation
7,AMHP,approved mental health professional
8,APTT,activated partial thromboplastin time
9,ASQ,ages and stages questionnaire
10,b.d.s,2 times a day
11,bds,2 times a day
12,BDS,2 times a day
13,b.i.d.,twice a day / twice daily / 2 times daily
14,bid,twice a day / twice daily / 2 times daily
15,bd,twice a day / twice daily / 2 times daily
16,BMI,body mass index
17,BNO,bowels not open
18,BO,bowels open
19,BP,blood pressure
20,c/c,chief complaint
21,CMHN,community mental health nurse
22,CPN,community psychiatric nurse
23,CSF,cerebrospinal fluid
24,CSU,catheter stream urine sample
25,CT scan,computerised tomography
26,CVP,central venous pressure
27,CXR,chest X-ray
28,DNACPR,do not attempt cardiopulmonary resuscitation
29,DNAR,do not attempt resuscitation
30,DNR,do not resuscitate
31,Dr,doctor
32,DVT,deep vein thrombosis
33,Dx,diagnosis
34,ECG,electrocardiogram
35,ED,emergency department
36,EEG,electroencephalogram
37,EMU,early morning urine sample
38,ESR,erythrocyte sedimentation rate
39,EUA,examination under anaesthetic
40,FBC,full blood count
41,FY1 FY2,foundation doctor
42,GA,general anaesthetic
43,gtt.,drop(s)
44,gtt,drop(s)
45,h.,hour
46,h,hour
47,h/o,history of
48,Hb,haemoglobin
49,HCA,healthcare assistant
50,HCSW,healthcare support worker
51,HDL,high-density lipoprotein
52,HRT,hormone replacement therapy
53,Ht,height
54,Hx,history
55,i,1 tablet
56,ii,2 tablets
57,iii,3 tablets
58,i.m.,injection into a muscle
59,IM,injection into a muscle
60,i.v.,injection directly to a vein
61,IV,injection directly to a vein
62,INR,international normalised ratio
63,IVI,intravenous infusion
64,IVP,intravenous pyelogram
65,Ix,investigations
66,LA,local anaesthetic
67,LDL,low-density lipoprotein
68,LFT,liver function test
69,LMP,last menstrual period
70,M/R,modified release
71,MRI,magnetic resonance imaging
72,MRSA,methicillin resistant staphylococcus aureus
73,MSU,mid-stream urine sample
74,n.p.o.,nothing by mouth / not by oral administration
75,npo,nothing by mouth / not by oral administration
76,NPO,nothing by mouth / not by oral administration
77,NAD,nothing abnormal discovered
78,NAI,non-accidental injury
79,NBM,nil by mouth
80,NG,nasogastric
81,nocte,every night
82,NoF,neck of femur
83,NSAID,non-steroidal anti-inflammatory drug
84,o.d.,once a day
85,od,once a day
86,OD,once a day
87,o/e,on examination
88,OT,occupational therapist
